Flight Name,Expected Takeoff Time,Actual Takeoff Time,Delay Time,Flight Time,Airline,Departure Airport,Arrival Airport
DL192,1682959659,1682968675,9016,7548,Delta Air Lines,SFO,ORD
DL192,1682979941,1682980977,1036,20094,Delta Air Lines,ORD,MKE
DL192,1683008638,1683010432,1794,19455,Delta Air Lines,MKE,LAX
DL192,1683039934,1683047577,7643,12460,Delta Air Lines,LAX,ORD
DL192,1683070129,1683070738,609,12755,Delta Air Lines,ORD,MKE
DL192,1683087272,1683091441,4169,17225,Delta Air Lines,MKE,ORD
DL192,1683114721,1683116142,1421,15259,Delta Air Lines,ORD,MKE
DL192,1683134660,1683135955,1295,20916,Delta Air Lines,MKE,LAX
DL192,1683161908,1683170673,8765,12438,Delta Air Lines,LAX,ORD
DL192,1683189220,1683190017,797,10238,Delta Air Lines,ORD,MKE
DL192,1683205963,1683209505,3542,5468,Delta Air Lines,MKE,ORD
DL192,1683223780,1683224628,848,19707,Delta Air Lines,ORD,MKE
DL192,1683254864,1683255876,1012,19074,Delta Air Lines,MKE,LAX
DL192,1683275372,1683276613,1241,6209,Delta Air Lines,LAX,SFO
DL192,1683286380,1683288019,1639,20339,Delta Air Lines,SFO,LAX
DL192,1683309596,1683310051,455,13656,Delta Air Lines,LAX,SFO
DL192,1683325600,1683326256,656,13811,Delta Air Lines,SFO,LAX
DL192,1683344568,1683351779,7211,15360,Delta Air Lines,LAX,ORD
DL192,1683367871,1683368433,562,16247,Delta Air Lines,ORD,MKE
DL192,1683393226,1683393560,334,3673,Delta Air Lines,MKE,LAX
DL192,1683403010,1683403277,267,14381,Delta Air Lines,LAX,SFO
DL192,1683427845,1683428689,844,12121,Delta Air Lines,SFO,LAX
DL192,1683446843,1683448259,1416,11760,Delta Air Lines,LAX,SFO
DL192,1683463729,1683465131,1402,15804,Delta Air Lines,SFO,LAX
DL192,1683489492,1683491248,1756,19908,Delta Air Lines,LAX,SFO
DL192,1683521013,1683522789,1776,6526,Delta Air Lines,SFO,LAX
DL192,1683531637,1683533165,1528,9017,Delta Air Lines,LAX,SFO
DL192,1683551483,1683553177,1694,4681,Delta Air Lines,SFO,LAX
DL192,1683561067,1683569582,8515,8113,Delta Air Lines,LAX,ORD
DL192,1683587232,1683588121,889,16501,Delta Air Lines,ORD,MKE
DL192,1683606529,1683608051,1522,21178,Delta Air Lines,MKE,LAX
DL192,1683639277,1683639922,645,16304,Delta Air Lines,LAX,SFO
DL192,1683658116,1683665231,7115,11914,Delta Air Lines,SFO,ORD
DL192,1683680904,1683681321,417,20597,Delta Air Lines,ORD,MKE
DL192,1683705078,1683706869,1791,18951,Delta Air Lines,MKE,LAX
DL192,1683732927,1683734421,1494,10789,Delta Air Lines,LAX,SFO
DL192,1683755976,1683762165,6189,12120,Delta Air Lines,SFO,ORD
DL192,1683779831,1683780834,1003,14616,Delta Air Lines,ORD,MKE
DL192,1683797888,1683798630,742,10214,Delta Air Lines,MKE,LAX
DL192,1683813645,1683823241,9596,6876,Delta Air Lines,LAX,ORD
DL192,1683834951,1683835347,396,7055,Delta Air Lines,ORD,MKE
DL192,1683842625,1683842954,329,15501,Delta Air Lines,MKE,LAX
DL192,1683867133,1683871770,4637,18310,Delta Air Lines,LAX,ORD
DL192,1683898559,1683899898,1339,20526,Delta Air Lines,ORD,MKE
DL192,1683927287,1683928595,1308,10609,Delta Air Lines,MKE,SFO
DL192,1683944027,1683947962,3935,21497,Delta Air Lines,SFO,ORD
DL192,1683974393,1683974411,18,12467,Delta Air Lines,ORD,MKE
DL192,1683988751,1683998963,10212,4375,Delta Air Lines,MKE,ORD
DL192,1684007406,1684008105,699,15400,Delta Air Lines,ORD,MKE
DL192,1684029788,1684030680,892,4638,Delta Air Lines,MKE,SFO
DL192,1684043489,1684051714,8225,14823,Delta Air Lines,SFO,ORD
DL192,1684072159,1684073904,1745,18101,Delta Air Lines,ORD,MKE
DL192,1684101073,1684109824,8751,12333,Delta Air Lines,MKE,ORD
DL192,1684129344,1684130043,699,18347,Delta Air Lines,ORD,MKE
DL192,1684149763,1684150503,740,9089,Delta Air Lines,MKE,SFO
DL192,1684164244,1684165085,841,17982,Delta Air Lines,SFO,LAX
DL192,1684185471,1684188355,2884,13264,Delta Air Lines,LAX,ORD
DL192,1684209015,1684209704,689,8524,Delta Air Lines,ORD,MKE
DL192,1684220174,1684221640,1466,19156,Delta Air Lines,MKE,SFO
DL192,1684245173,1684245451,278,12121,Delta Air Lines,SFO,LAX
DL192,1684260451,1684261947,1496,20276,Delta Air Lines,LAX,SFO
DL192,1684286578,1684287271,693,19433,Delta Air Lines,SFO,LAX
DL192,1684308308,1684314282,5974,12313,Delta Air Lines,LAX,ORD
DL192,1684333745,1684335438,1693,18556,Delta Air Lines,ORD,MKE
DL192,1684359851,1684360087,236,13652,Delta Air Lines,MKE,LAX
DL192,1684377353,1684379617,2264,20326,Delta Air Lines,LAX,ORD
DL192,1684406459,1684408217,1758,15495,Delta Air Lines,ORD,MKE
DL192,1684433479,1684444265,10786,6830,Delta Air Lines,MKE,ORD
DL192,1684461746,1684461908,162,11113,Delta Air Lines,ORD,MKE
DL192,1684478207,1684478331,124,19244,Delta Air Lines,MKE,LAX
DL192,1684502036,1684503779,1743,4112,Delta Air Lines,LAX,SFO
DL192,1684511855,1684519797,7942,8179,Delta Air Lines,SFO,ORD
DL192,1684537981,1684539602,1621,16694,Delta Air Lines,ORD,MKE
DL192,1684565822,1684565870,48,15489,Delta Air Lines,MKE,SFO
DL192,1684583623,1684585194,1571,15414,Delta Air Lines,SFO,LAX
DL192,1684607593,1684608649,1056,13636,Delta Air Lines,LAX,SFO
DL192,1684632960,1684638176,5216,9144,Delta Air Lines,SFO,ORD
DL192,1684655975,1684657674,1699,11606,Delta Air Lines,ORD,MKE
DL192,1684672227,1684676133,3906,17798,Delta Air Lines,MKE,ORD
DL192,1684703878,1684704508,630,9238,Delta Air Lines,ORD,MKE
DL192,1684722122,1684722990,868,16841,Delta Air Lines,MKE,LAX
DL192,1684750607,1684751539,932,21491,Delta Air Lines,LAX,SFO
DL192,1684779877,1684780661,784,20192,Delta Air Lines,SFO,LAX
DL192,1684810226,1684812404,2178,21101,Delta Air Lines,LAX,ORD
DL192,1684840159,1684841257,1098,10985,Delta Air Lines,ORD,MKE
DL192,1684859445,1684860578,1133,8017,Delta Air Lines,MKE,SFO
DL192,1684869131,1684875649,6518,14348,Delta Air Lines,SFO,ORD
DL192,1684894830,1684896148,1318,11986,Delta Air Lines,ORD,MKE
DL192,1684917185,1684918613,1428,5258,Delta Air Lines,MKE,LAX
DL192,1684926218,1684932124,5906,16626,Delta Air Lines,LAX,ORD
DL192,1684949304,1684949804,500,21124,Delta Air Lines,ORD,MKE
DL192,1684981714,1684982031,317,11922,Delta Air Lines,MKE,LAX
DL192,1684993955,1684994771,816,17781,Delta Air Lines,LAX,SFO
DL192,1685015216,1685015340,124,6691,Delta Air Lines,SFO,LAX
DL192,1685027617,1685035989,8372,12138,Delta Air Lines,LAX,ORD
DL192,1685051015,1685052230,1215,4097,Delta Air Lines,ORD,MKE
DL192,1685062604,1685065617,3013,20812,Delta Air Lines,MKE,ORD
DL192,1685091768,1685092982,1214,5964,Delta Air Lines,ORD,MKE
DL192,1685099898,1685100039,141,4992,Delta Air Lines,MKE,LAX
DL192,1685109930,1685109958,28,7536,Delta Air Lines,LAX,SFO
DL192,1685124078,1685124377,299,20730,Delta Air Lines,SFO,LAX
DL192,1685153176,1685161101,7925,18056,Delta Air Lines,LAX,ORD
DL192,1685181584,1685182286,702,10599,Delta Air Lines,ORD,MKE
DL192,1685198861,1685199424,563,20427,Delta Air Lines,MKE,LAX
DL192,1685223528,1685225112,1584,4634,Delta Air Lines,LAX,SFO
DL192,1685231432,1685238091,6659,6716,Delta Air Lines,SFO,ORD
DL192,1685248669,1685249761,1092,9172,Delta Air Lines,ORD,MKE
DL192,1685267090,1685267274,184,13213,Delta Air Lines,MKE,LAX
DL192,1685283806,1685284999,1193,3723,Delta Air Lines,LAX,SFO
DL192,1685289780,1685298483,8703,12243,Delta Air Lines,SFO,ORD
DL192,1685314044,1685315550,1506,5384,Delta Air Lines,ORD,MKE
DL192,1685326951,1685327599,648,15568,Delta Air Lines,MKE,SFO
DL192,1685345115,1685346839,1724,20640,Delta Air Lines,SFO,LAX
DL192,1685373791,1685374094,303,4718,Delta Air Lines,LAX,SFO
DL192,1685388222,1685389402,1180,18939,Delta Air Lines,SFO,LAX
DL192,1685408826,1685417082,8256,20937,Delta Air Lines,LAX,ORD
DL192,1685439183,1685440531,1348,18970,Delta Air Lines,ORD,MKE
DL192,1685462773,1685466930,4157,20655,Delta Air Lines,MKE,ORD
DL192,1685488077,1685489546,1469,16807,Delta Air Lines,ORD,MKE
DL192,1685515480,1685516556,1076,15000,Delta Air Lines,MKE,SFO
DL192,1685534487,1685540392,5905,18203,Delta Air Lines,SFO,ORD
DL192,1685563247,1685563344,97,8979,Delta Air Lines,ORD,MKE
DL192,1685576007,1685576490,483,20627,Delta Air Lines,MKE,LAX
DL192,1685599411,1685600186,775,4717,Delta Air Lines,LAX,SFO
DL192,1685607072,1685607878,806,3882,Delta Air Lines,SFO,LAX
DL192,1685618114,1685619765,1651,17803,Delta Air Lines,LAX,SFO
DL192,1685640343,1685641399,1056,16501,Delta Air Lines,SFO,LAX
DL192,1685667218,1685667722,504,13489,Delta Air Lines,LAX,SFO
DL192,1685681480,1685683278,1798,20570,Delta Air Lines,SFO,LAX
DL192,1685706165,1685708221,2056,3780,Delta Air Lines,LAX,ORD
DL192,1685720659,1685722458,1799,5508,Delta Air Lines,ORD,MKE
DL192,1685730901,1685731227,326,5674,Delta Air Lines,MKE,SFO
DL192,1685744506,1685748373,3867,9298,Delta Air Lines,SFO,ORD
DL192,1685763623,1685764275,652,21571,Delta Air Lines,ORD,MKE
DL192,1685787948,1685788864,916,14522,Delta Air Lines,MKE,LAX
DL192,1685811283,1685812456,1173,14636,Delta Air Lines,LAX,SFO
DL192,1685828120,1685829870,1750,12362,Delta Air Lines,SFO,LAX
DL192,1685844544,1685845999,1455,17237,Delta Air Lines,LAX,SFO
DL192,1685863970,1685865090,1120,11455,Delta Air Lines,SFO,LAX
DL192,1685887329,1685892463,5134,15070,Delta Air Lines,LAX,ORD
DL192,1685911704,1685912834,1130,19251,Delta Air Lines,ORD,MKE
DL192,1685935212,1685940673,5461,5273,Delta Air Lines,MKE,ORD
DL192,1685946681,1685947732,1051,12542,Delta Air Lines,ORD,MKE
DL192,1685966305,1685967578,1273,5641,Delta Air Lines,MKE,SFO
DL192,1685980977,1685982614,1637,5552,Delta Air Lines,SFO,LAX
DL192,1685998117,1685999037,920,13612,Delta Air Lines,LAX,SFO
